,em_nfe,em_error,pi_nfe,pi_error,pi_tau
0,9.0,6.932324092872715,185.5418,0.2584308492472844,0.099999994
1,9.0,6.932324092872715,180.67444,0.2600890385002182,0.1026247
2,10.0,6.344057304608935,175.98986,0.2657754129985062,0.105318315
3,10.0,6.344057304608935,171.48,0.2658047324888565,0.10808261
4,11.0,5.764318437457602,167.08606,0.2828263371166067,0.110919476
5,11.0,5.764318437457602,162.83686,0.29558948886366265,0.11383078
6,12.0,5.281206062303515,158.68252,0.28134640535587907,0.116818525
7,12.0,5.281206062303515,154.66762,0.2812255130198017,0.11988466
8,13.0,4.857277973958684,150.81532,0.2729593543176114,0.12303131
9,13.0,4.857277973958684,147.07654,0.265228142729828,0.12626052
10,14.0,4.468676327802874,143.46572,0.2720358997380134,0.12957451
11,14.0,4.468676327802874,139.95976,0.27499433414107255,0.13297544
12,15.0,4.125219893579353,136.5726,0.2560635928361892,0.13646567
13,16.0,3.8168439894736332,133.31932,0.25902458163603054,0.1400475
14,16.0,3.8168439894736332,130.15992,0.2548953136951365,0.14372335
15,17.0,3.542882485995084,127.05784,0.23290158501079367,0.14749567
16,18.0,3.301888126971795,124.11738,0.24317151778559393,0.15136702
17,19.0,3.091408033018348,121.2363,0.23353559687438816,0.15533997
18,19.0,3.091408033018348,118.44256,0.23046047463093494,0.15941718
19,20.0,2.9013762777162655,115.74384,0.20856324839309848,0.16360144
20,21.0,2.7290252674994524,113.12824,0.22565685648023803,0.1678955
21,22.0,2.564248904042938,110.60304,0.2181373454099818,0.17230229
22,23.0,2.410766409411341,108.1562,0.21078849136552655,0.1768247
23,24.0,2.2701867692065716,105.78296,0.20059519433180278,0.18146585
24,25.0,2.150550185376743,103.48882,0.17843504816118752,0.18622881
25,26.0,2.0418987510959217,101.28372,0.18077282188457047,0.19111678
26,27.0,1.9411483635150448,99.11606,0.1625982025288913,0.19613305
27,28.0,1.8577356882214016,97.05902,0.1471719912179403,0.20128098
28,29.0,1.7812306220148268,95.01528,0.1478003456994712,0.20656402
29,30.0,1.7088107355570972,93.09852,0.14836363367910085,0.21198572
30,32.0,1.5879005158708934,91.1785,0.13674071316064987,0.21754976
31,33.0,1.534492109968308,89.37858,0.1396770008407736,0.22325979
32,34.0,1.4824375080212147,87.61936,0.14423306628757912,0.22911975
33,36.0,1.3965414858979026,85.87862,0.13693132972791283,0.23513345
34,37.0,1.3576728711051707,84.25166,0.13338518701663643,0.24130507
35,39.0,1.2860292964446138,82.63888,0.13228019960845977,0.2476386
36,40.0,1.2551286107119586,81.05924,0.14036009562315246,0.2541384
37,42.0,1.202439391440821,79.60796,0.13097719786606152,0.2608088
38,44.0,1.144842236121296,78.10688,0.1200676116040973,0.2676543
39,46.0,1.0974367673311727,76.68248,0.11227239391211949,0.27467945
40,48.0,1.0558381384649052,75.3768,0.12020140048076702,0.281889
41,50.0,1.0165708244744587,74.0291,0.12118322802795505,0.28928778
42,52.0,0.9838237411674476,72.69908,0.12253526130614636,0.29688075
43,54.0,0.9465165573769374,71.49554,0.1270541812888433,0.30467302
44,56.0,0.9174026266592921,70.341,0.13018264095377705,0.3126698
45,58.0,0.8907545013450001,69.10652,0.12066388755608876,0.32087645
46,61.0,0.8442507099265228,67.95406,0.1163228659042629,0.32929856
47,63.0,0.8079919201666168,66.90434,0.12117787540391606,0.3379417
48,66.0,0.7587473841086261,65.89768,0.12675644123558727,0.34681168
49,68.0,0.733752845974681,64.80164,0.10823444822721716,0.3559145
50,71.0,0.6954780181800496,63.75396,0.11779892529002448,0.36525625
51,74.0,0.6637607087251491,62.82262,0.11236572192565242,0.37484318
52,77.0,0.6423237820506044,61.94778,0.10815356176058599,0.38468173
53,80.0,0.6179848785255191,61.052,0.10440726432316774,0.39477852
54,83.0,0.5873689464794686,60.07474,0.10040756045103956,0.40514034
55,87.0,0.548806488737072,59.18408,0.10158344544711471,0.41577405
56,90.0,0.5151512754716997,58.38344,0.08859806358656791,0.42668694
57,94.0,0.49555511691165666,57.64176,0.09301610076362334,0.43788624
58,98.0,0.4709088667655962,56.91564,0.10138241640438396,0.4493795
59,102.0,0.46324215915063116,56.09288,0.10559323404541075,0.46117443
60,106.0,0.45432314770440035,55.28532,0.1106938468318858,0.47327894
61,110.0,0.4467595035526906,54.57808,0.11047745629284818,0.48570114
62,115.0,0.4416109279874683,53.93132,0.11151115127462952,0.49844941
63,120.0,0.42755798881252594,53.32054,0.12371176220304858,0.5115323
64,124.0,0.41779746440491927,52.72624,0.11881560220493408,0.5249585
65,129.0,0.4107171050623624,52.09768,0.1344137966880838,0.5387372
66,135.0,0.3989770675500093,51.39492,0.13780549029916928,0.5528775
67,140.0,0.39507337276084065,50.76816,0.1464542747247691,0.5673889
68,146.0,0.3869634462877076,50.21784,0.15874524964147552,0.58228123
69,152.0,0.3773482833885569,49.73812,0.16496551445602137,0.59756446
70,158.0,0.37681758634330115,49.2795,0.18430843316359377,0.6132488
71,164.0,0.36498952145870256,48.85546,0.193138914577412,0.6293448
72,171.0,0.36685743058268405,48.45894,0.21144578786831747,0.6458633
73,178.0,0.3623993441401334,48.065,0.21670014405458163,0.66281533
74,185.0,0.3603027207162884,47.65012,0.22693360080008096,0.6802124
75,193.0,0.36048984367292897,47.21306,0.24772896083344875,0.698066
76,200.0,0.36420824566292404,46.8153,0.25619113206160415,0.7163882
77,209.0,0.35973248929579565,46.43316,0.2651203756547805,0.73519135
78,217.0,0.36105808410854395,46.10372,0.27630667242383516,0.754488
79,226.0,0.3500520880577813,45.80418,0.2962391590458055,0.77429116
80,235.0,0.3346058424611641,45.53066,0.3101953310188495,0.7946141
81,245.0,0.32010001903993834,45.26254,0.3329503430438945,0.8154704
82,254.0,0.3099426189564152,45.01482,0.34593734113497715,0.8368741
83,265.0,0.2993376843214507,44.77894,0.36296648619098065,0.8588397
84,275.0,0.29447690040304403,44.55958,0.3827505009433154,0.88138175
85,287.0,0.27603536081427543,44.33386,0.3972429633301038,0.90451545
86,298.0,0.2668222987623974,44.13516,0.4119369486060655,0.9282564
87,310.0,0.25108571524391954,43.95276,0.4315999223403639,0.9526205
88,323.0,0.23887288752320998,43.8352,0.4391419968296323,0.977624
89,336.0,0.22290647897583737,43.73732,0.458623400979201,1.0032839
90,349.0,0.21537069840284717,43.64318,0.47018639429990255,1.0296172
91,363.0,0.2097080367188092,43.5417,0.4879370882702485,1.0566417
92,378.0,0.19597621564988452,43.49354,0.502130958526186,1.0843755
93,393.0,0.17957455219324028,43.45698,0.5185232812737772,1.1128372
94,409.0,0.16045840127890168,43.50902,0.5420495923122421,1.142046
95,426.0,0.14294411185435657,43.65096,0.5588866451069765,1.1720214
96,443.0,0.13084702953406196,43.8679,0.5807883395564657,1.2027836
97,461.0,0.12146822777870625,44.22916,0.6079066970392323,1.2343532
98,480.0,0.1081183018101561,44.82964,0.6375166313578753,1.2667514
99,499.0,0.09782271311843607,45.87172,0.6721746224651619,1.3
